Start_State,On,End_State
START,space,START
START,id,ACCESS_SELECTOR
START,class,ACCESS_SELECTOR
START,string,SELECTOR
START,open_declaration_block,START_DECLARATION_BLOCK
START,colon,COLON
START,semi_colon,DECLARATION
START,close_declaration_block,END_RULE

SELECTOR,colon,PROPERTY
PROPERTY,string,PROPERTY
PROPERTY,semi_colon,DECLARATION
