Start_State,On,End_State
s0,openB,s1
s1,letter,s2
s1,fSlash,s3
s2,letter,s2
s2,digit,s2
s2,closeB,s5
s5,openB,s9
s9,letter,s2
s9,fSlash,s3
s5,letter,s6
s5,digit,s6
s6,letter,s6
s6,digit,s6
s6,openB,s1
s3,letter,s7
s3,digit,s7
s7,letter,s7
s7,digit,s7
s7,closeB,s8

